Дата;болезнь;состояние;плохое;организм;болезни;организма;жизнь;лекарство;болезней;жизни;питании;врача;пищеварение;врачи;организме;зависит;лекарства;больных;лечить;лечение;врач;пациентов;здоровье и стресс_KGN_2010_2015;здоровье и питание_KGN_2010_2015;влияет на здоровье_KGN_2010_2015;защита здоровья_KGN_2010_2015;контроль здоровья_KGN_2010_2015;улучшение здоровья_KGN_2010_2015;профилактика здоровья_KGN_2010_2015;проверка здоровья_KGN_2010_2015;кашель не проходит 2 недели_KGN_2010_2015;хороший терапевт_KGN_2010_2015
01.07.2012;0;0;0;0;0;0;55;0;0;42;0;0;0;0;0;0;0;0;0;77;0;0;0;0;0;0;0;0;0;0;0;0
01.08.2012;0;0;0;0;0;0;38;0;0;35;0;0;0;0;0;0;0;0;54;44;0;0;0;0;0;0;0;0;0;0;0;0
01.09.2012;0;0;0;0;0;0;40;0;0;56;0;0;0;0;0;0;0;0;73;45;0;0;0;0;0;0;0;0;0;0;0;0
01.10.2012;0;0;0;0;42;0;56;0;0;73;0;0;0;0;0;0;0;0;77;65;0;0;0;0;0;0;0;0;0;0;0;0
01.11.2012;87;71;0;0;45;100;42;0;0;65;0;0;0;0;0;0;0;0;42;60;0;0;100;0;0;0;0;0;0;0;0;0
01.12.2012;59;0;0;0;0;0;31;0;0;60;0;0;0;0;0;0;0;100;57;51;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2013;0;100;0;0;29;0;54;0;0;44;0;0;0;0;0;0;0;0;57;52;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2013;76;70;0;0;39;0;39;71;0;56;0;0;0;0;0;0;0;0;67;58;84;0;0;0;0;0;0;0;100;0;0;0
01.03.2013;43;36;0;0;42;38;46;43;0;55;0;78;0;0;0;0;19;0;64;56;38;0;0;0;0;0;0;0;0;0;0;0
01.04.2013;46;60;0;0;72;0;29;0;0;47;0;0;0;0;0;0;0;0;55;57;0;0;0;0;0;0;0;0;0;0;0;0
01.05.2013;0;62;0;0;55;0;44;0;0;56;0;0;0;0;0;0;0;0;55;54;100;0;0;0;0;0;0;0;0;0;0;0
01.06.2013;0;0;0;0;64;0;37;97;0;46;0;0;0;0;0;0;0;0;65;56;0;0;0;0;0;0;0;0;0;0;0;0
01.07.2013;0;0;0;0;55;0;38;0;0;30;0;0;0;0;0;0;0;0;51;50;0;0;0;0;0;0;0;0;0;0;0;0
01.08.2013;34;0;0;0;30;0;40;0;0;34;0;0;0;0;0;0;0;0;51;54;0;0;0;0;0;0;0;0;0;0;0;0
01.09.2013;38;0;0;0;32;0;44;0;0;51;0;0;0;0;100;0;0;0;56;59;0;0;0;0;0;0;0;0;0;0;0;0
01.10.2013;37;0;0;0;0;0;33;0;0;70;0;0;0;0;0;0;0;0;62;56;0;0;0;0;0;0;0;0;0;0;0;0
01.11.2013;80;0;0;0;34;0;39;0;0;65;0;0;0;0;0;0;0;0;55;58;74;0;0;0;0;0;0;0;0;0;0;0
01.12.2013;38;46;0;0;37;0;42;100;0;67;0;100;0;0;0;0;0;0;44;53;63;0;0;0;0;0;0;0;0;0;0;0
01.01.2014;50;60;0;0;41;0;44;81;0;63;0;0;0;0;0;0;0;0;40;51;53;0;0;0;0;0;0;0;0;0;0;0
01.02.2014;53;62;0;0;0;0;57;0;0;53;0;0;0;0;0;0;0;0;66;48;45;0;0;0;0;0;0;0;0;0;0;0
01.03.2014;32;47;0;0;51;0;51;0;0;55;0;0;0;0;0;0;0;0;75;55;0;0;0;0;0;0;0;0;0;0;0;0
01.04.2014;40;59;0;0;36;0;51;0;0;59;0;0;0;0;0;0;0;0;42;47;0;0;0;0;0;0;0;0;0;0;0;0
01.05.2014;35;46;0;0;0;81;46;63;0;57;0;0;0;0;0;0;0;0;72;52;44;0;0;0;0;0;0;0;0;0;0;0
01.06.2014;77;55;24;0;0;0;100;68;0;49;0;0;0;0;0;0;0;0;76;54;53;0;0;0;0;0;0;0;0;0;0;0
01.07.2014;45;0;0;0;26;0;38;0;0;49;0;0;0;0;0;0;0;0;55;43;41;0;0;0;0;0;0;0;0;0;0;0
01.08.2014;41;0;0;0;30;0;54;0;0;34;0;0;0;0;0;0;0;0;67;46;44;0;0;0;0;0;0;0;0;0;0;0
01.09.2014;48;0;0;0;34;0;44;51;0;71;0;0;0;0;0;0;0;0;98;53;59;0;0;0;0;0;0;0;0;0;0;0
01.10.2014;45;64;0;0;40;0;43;50;0;65;0;62;0;0;0;0;0;0;67;55;32;0;0;0;0;0;0;0;0;0;0;0
01.11.2014;71;55;0;0;31;0;47;50;0;59;0;73;0;0;0;0;0;0;68;60;59;0;0;0;0;0;0;0;0;0;0;0
01.12.2014;41;33;0;0;55;0;74;60;0;78;0;0;0;0;0;0;0;0;56;52;63;0;0;0;0;0;0;0;0;0;0;0
01.01.2015;47;35;0;0;37;36;52;75;0;51;0;51;0;0;0;41;0;0;86;51;36;0;0;0;0;0;0;0;0;0;0;0
01.02.2015;31;59;0;0;27;49;45;42;0;63;0;0;0;0;0;45;26;0;75;56;34;0;0;0;100;0;0;0;0;0;0;0
01.03.2015;33;0;13;100;29;0;33;40;0;69;0;71;0;0;0;0;17;0;58;53;40;0;0;0;0;0;0;0;0;0;0;0
01.04.2015;56;39;0;92;30;0;45;46;0;62;100;62;0;100;0;60;20;0;74;50;31;0;0;0;0;0;0;0;0;0;0;0
01.05.2015;47;61;0;0;47;53;88;0;0;55;0;0;0;0;0;0;0;0;51;47;0;0;0;0;0;0;0;2;0;0;0;0
01.06.2015;61;42;0;0;61;44;100;51;0;50;0;0;0;0;0;0;20;0;79;41;36;0;0;0;0;0;0;0;0;0;0;0
01.07.2015;36;35;0;0;26;50;49;0;0;40;0;0;0;0;0;0;20;0;77;49;0;0;0;0;0;0;0;0;0;0;0;0
01.08.2015;45;0;0;0;25;0;48;57;0;49;0;0;0;0;0;0;19;0;72;52;44;0;0;100;0;0;0;0;0;0;0;0
01.09.2015;29;42;0;0;25;0;64;0;0;73;0;0;0;0;0;0;0;0;58;55;0;0;0;0;0;2;0;0;0;0;0;0
01.10.2015;34;56;0;0;21;38;43;64;0;61;0;0;0;0;55;39;29;0;63;51;29;0;0;0;0;0;0;0;0;0;0;0
01.11.2015;55;35;0;0;34;52;45;77;0;65;0;0;0;0;45;0;26;46;74;54;34;0;0;0;0;0;0;0;0;0;0;0
01.12.2015;44;61;0;0;44;0;36;52;0;65;0;0;0;0;0;47;18;0;100;53;0;0;0;0;0;0;0;0;0;0;0;0
01.01.2016;0;37;43;0;63;58;58;44;80;0;0;61;0;56;0;46;0;82;0;0;88;96;0;0;0;0;0;0;0;0;0;0
01.02.2016;0;41;29;0;76;51;63;38;60;0;0;66;0;43;0;37;0;40;0;0;77;90;0;0;0;0;0;0;0;0;0;0
01.03.2016;0;36;33;0;57;53;62;39;38;0;0;70;0;0;0;0;82;44;0;0;69;100;0;0;0;0;0;0;0;0;0;0
01.04.2016;0;61;46;0;0;60;69;40;38;0;0;83;0;0;0;46;0;41;0;0;64;91;0;0;0;0;0;0;0;0;0;0
01.05.2016;0;53;36;0;96;74;0;90;42;0;0;72;0;54;0;0;65;0;0;0;70;79;0;0;0;0;0;0;0;0;0;0
01.06.2016;0;28;25;0;0;79;0;76;50;0;0;57;0;0;0;43;0;0;0;0;77;90;0;0;0;0;100;0;0;0;0;0
01.07.2016;0;19;0;0;0;59;0;49;49;0;0;42;0;0;0;0;0;46;0;0;74;96;0;0;0;0;0;0;0;0;0;0
01.08.2016;0;45;0;0;0;41;0;63;0;0;0;37;0;0;0;0;0;0;0;0;68;90;0;0;0;0;0;0;0;0;0;0
01.09.2016;0;47;31;0;0;54;0;67;46;0;0;83;0;52;0;0;78;0;0;0;75;87;0;0;0;0;0;0;0;0;0;0
01.10.2016;0;34;41;0;0;50;77;53;64;0;0;81;0;63;0;59;0;43;0;0;78;81;0;0;0;0;0;0;0;0;0;0
01.11.2016;0;34;42;0;0;52;0;46;60;0;0;68;0;0;0;0;0;52;0;0;67;87;0;0;0;0;0;0;0;0;0;0
01.12.2016;0;39;47;0;0;52;62;37;32;0;0;61;0;62;0;37;0;48;0;0;65;80;0;0;0;0;0;0;0;0;0;0
01.01.2017;0;33;0;0;0;52;59;42;63;0;0;66;0;54;0;51;62;67;0;0;89;79;0;0;0;0;0;0;0;0;0;0
01.02.2017;0;39;36;0;0;80;76;34;38;0;0;62;0;45;0;38;73;84;0;0;58;92;0;0;0;0;0;0;0;0;0;0
01.03.2017;0;46;39;0;60;52;73;46;73;0;0;86;0;0;0;42;0;58;0;0;70;92;0;0;0;0;0;0;0;0;0;0
01.04.2017;0;37;33;80;67;82;47;41;87;0;0;83;0;43;0;0;0;45;29;0;74;88;0;0;0;0;0;0;0;0;0;0
01.05.2017;0;44;33;0;0;56;61;40;42;0;0;66;0;44;0;0;0;0;0;0;78;82;0;0;0;0;0;0;0;0;0;0
01.06.2017;0;47;0;0;0;74;0;35;86;0;0;56;0;0;0;71;0;0;0;0;81;87;0;0;0;0;0;0;0;0;0;0
01.07.2017;0;52;27;0;91;90;0;36;60;0;0;57;0;50;0;0;0;56;0;0;75;93;0;0;0;0;0;0;0;0;0;0
01.08.2017;0;85;30;0;0;58;0;45;63;0;0;50;0;48;0;80;0;0;0;0;77;81;0;0;0;0;0;0;0;0;0;0
01.09.2017;0;33;32;89;66;48;56;47;84;0;0;67;0;47;0;0;0;48;0;0;71;89;0;0;0;0;0;0;0;0;0;0
01.10.2017;0;33;28;0;56;42;0;41;73;0;0;67;0;67;0;55;0;0;0;0;67;87;0;0;0;0;0;0;0;0;0;0
01.11.2017;0;53;36;0;79;67;75;39;43;0;0;69;0;60;0;56;69;0;0;0;72;85;0;0;0;0;0;0;0;0;0;0
01.12.2017;0;50;37;0;74;62;70;36;37;0;0;75;0;50;0;49;0;54;0;0;73;80;0;0;0;0;0;0;0;0;0;0
01.01.2018;0;42;33;100;0;61;47;61;59;0;0;70;0;0;0;32;0;39;0;0;71;92;0;0;0;0;0;0;0;0;0;0
01.02.2018;0;43;53;0;0;60;0;41;67;0;0;74;0;48;0;75;0;51;0;0;71;92;0;0;0;0;0;0;0;0;0;0
01.03.2018;0;51;38;0;55;53;0;52;63;0;0;77;0;58;0;59;0;66;28;70;69;98;0;0;0;0;0;0;0;0;0;0
01.04.2018;0;53;38;0;0;58;89;47;75;0;0;80;0;0;0;0;60;56;0;0;87;74;0;0;0;0;0;0;0;0;0;0
01.05.2018;0;43;40;79;0;40;54;36;51;0;0;63;0;53;0;39;0;40;0;0;75;77;0;0;0;0;0;0;0;100;0;0
01.06.2018;0;44;21;0;0;60;56;37;65;0;0;55;0;54;0;52;0;43;0;0;67;67;0;0;0;0;0;0;0;0;0;0
01.07.2018;0;37;0;0;0;67;0;43;67;0;0;47;0;56;0;40;0;52;0;0;82;78;0;0;0;0;0;0;0;0;0;0
01.08.2018;0;38;22;0;0;50;0;34;56;0;0;47;0;48;0;37;0;39;0;0;57;81;0;0;0;0;0;0;0;0;0;0
01.09.2018;0;47;24;0;0;64;52;39;63;0;0;66;0;69;0;55;0;38;0;0;81;68;0;0;0;0;0;0;0;0;0;100
01.10.2018;0;55;30;0;60;40;87;40;53;0;0;74;0;64;0;67;69;0;0;0;73;78;0;0;0;0;0;0;0;0;0;0
01.11.2018;0;37;39;81;0;49;0;37;70;100;0;76;0;0;0;66;100;44;0;0;69;76;0;0;0;0;0;0;0;0;0;0
01.12.2018;0;48;39;0;56;62;0;35;59;0;0;59;0;49;0;56;88;69;0;0;64;73;0;0;0;0;0;0;0;0;0;0
01.01.2019;0;69;29;0;57;78;50;47;82;0;0;76;0;56;0;61;0;59;0;0;75;78;0;0;0;0;0;0;0;0;0;0
01.02.2019;0;57;40;0;0;69;0;41;68;0;100;68;0;49;0;41;0;41;0;0;84;83;0;0;0;0;0;0;0;0;0;0
01.03.2019;0;100;46;0;57;39;47;39;59;0;0;69;0;0;0;51;79;70;36;0;80;89;0;0;0;0;0;0;0;0;0;0
01.04.2019;0;39;54;0;62;46;56;40;42;0;0;78;0;0;0;76;65;43;0;0;76;84;0;0;0;0;0;0;0;0;0;0
01.05.2019;0;62;28;0;53;42;88;51;65;0;0;62;0;0;0;53;0;54;0;0;63;78;0;0;0;0;0;0;0;0;0;0
01.06.2019;0;53;46;0;0;76;0;46;58;0;0;48;0;51;0;45;0;66;0;0;76;74;0;0;0;0;0;0;0;0;0;0
01.07.2019;0;52;0;0;0;64;0;43;69;0;0;43;0;62;0;58;0;100;35;0;82;85;0;0;0;0;0;0;0;0;0;0
01.08.2019;0;45;42;0;85;54;0;41;57;0;0;54;0;52;0;78;0;68;0;0;54;85;0;0;0;0;0;0;0;0;0;0
01.09.2019;0;48;100;0;55;45;66;39;62;0;0;82;0;0;0;54;0;58;0;0;61;78;0;0;0;0;0;0;0;0;0;0
01.10.2019;0;64;71;0;0;69;85;32;76;0;0;79;0;75;0;67;74;38;0;0;78;86;0;0;0;0;0;0;0;0;0;0
01.11.2019;0;35;36;0;68;56;78;41;65;0;0;70;0;0;0;55;0;51;0;0;77;90;0;0;0;0;0;0;0;0;0;0
01.12.2019;0;42;33;0;0;56;0;33;66;0;0;73;0;41;0;48;89;50;0;0;75;90;0;0;0;0;0;0;0;0;0;0
01.01.2020;0;53;44;0;82;46;71;38;74;0;0;66;0;46;0;76;70;50;35;0;68;76;0;0;0;0;0;0;0;0;0;0
01.02.2020;0;47;38;0;75;59;74;40;71;0;0;71;0;52;0;100;0;57;0;0;66;77;0;0;0;0;0;0;52;0;0;0
01.03.2020;0;44;58;82;66;79;100;39;100;74;0;70;0;69;0;62;82;65;62;0;68;82;0;0;0;0;0;0;0;0;0;0
01.04.2020;0;52;57;0;100;71;65;41;54;0;0;98;0;73;0;42;85;44;100;0;51;66;32;0;0;0;0;0;0;0;0;0
01.05.2020;0;43;64;0;67;69;81;36;58;0;0;72;0;62;0;51;78;46;28;0;66;66;0;0;0;0;0;0;0;0;0;0
01.06.2020;100;54;25;0;0;84;44;36;47;0;0;56;0;74;0;68;0;40;0;0;54;67;0;0;0;0;0;0;0;0;0;0
01.07.2020;0;44;23;0;61;75;96;41;58;0;85;51;0;68;0;70;93;54;30;0;71;63;0;0;0;0;0;0;0;0;0;0
01.08.2020;0;27;0;0;0;32;66;29;55;0;0;50;0;46;0;62;0;78;0;0;60;61;0;0;0;0;0;0;0;0;0;0
01.09.2020;0;39;55;0;0;45;71;40;62;0;0;72;0;63;0;61;0;0;0;0;74;76;0;0;0;0;0;0;0;0;0;0
01.10.2020;0;40;34;0;55;72;65;39;91;0;0;80;0;100;0;85;70;88;0;0;100;89;0;0;0;0;0;0;0;0;0;0
01.11.2020;0;46;40;0;54;58;96;42;30;0;0;100;0;83;100;54;82;50;34;0;81;75;0;0;0;0;0;0;0;0;0;0
01.12.2020;0;62;50;0;55;50;86;42;60;81;0;86;0;74;0;36;87;96;0;0;68;67;0;0;0;0;0;0;0;0;0;0
